"","OLD","NEW"
"1",0,1
"2",0,0
"3",1,1
"4",0,1
"5",0,1
"6",0,1
"7",0,1
"8",0,1
"9",0,1
"10",0,1
"11",0,1
"12",0,1
"13",0,1
"14",0,1
"15",0,1
"16",0,0
"17",0,0
"18",0,1
"19",0,0
"20",0,0
"21",0,0
"22",0,0
"23",0,1
"24",0,1
"25",0,1
"26",0,1
"27",0,1
"28",0,1
"29",0,0
"30",0,1
"31",0,0
"32",0,1
"33",0,1
"34",0,1
"35",0,1
"36",1,1
"37",0,0
"38",0,1
"39",0,1
"40",0,0
"41",0,0
"42",0,1
"43",1,1
"44",0,1
"45",0,1
"46",0,1
"47",0,1
"48",0,1
"49",0,1
"50",0,1
"51",0,1
"52",0,1
"53",0,1
"54",0,1
"55",0,1
"56",1,1
"57",0,1
"58",0,1
"59",0,1
"60",0,1
"61",0,0
"62",0,0
"63",1,1
"64",0,1
"65",0,1
"66",0,1
"67",0,1
"68",0,0
"69",0,1
"70",0,1
"71",0,1
"72",0,1
"73",0,1
"74",0,1
"75",0,1
"76",1,1
"77",0,1
"78",0,0
"79",0,1
"80",0,1
"81",0,1
"82",0,1
"83",0,0
"84",0,1
"85",0,1
"86",0,1
"87",0,0
"88",0,0
"89",0,1
"90",0,1
"91",0,0
"92",0,1
"93",0,0
"94",0,1
"95",0,1
"96",0,0
"97",0,1
"98",0,1
"99",0,1
"100",0,0
"101",0,0
"102",0,1
"103",0,1
"104",0,1
"105",0,1
"106",0,1
"107",1,1
"108",0,0
"109",0,0
"110",0,0
"111",0,1
"112",0,1
"113",0,0
"114",0,0
"115",0,1
"116",0,1
"117",0,1
"118",0,0
"119",0,1
"120",1,1
"121",0,1
"122",0,1
"123",0,0
"124",1,1
"125",0,1
"126",0,0
"127",0,1
"128",0,0
"129",0,0
"130",0,1
"131",0,1
"132",0,1
"133",1,1
"134",0,1
"135",0,1
"136",0,0
"137",0,1
"138",0,1
"139",0,1
"140",0,1
"141",0,1
"142",0,1
"143",0,1
"144",0,1
"145",0,1
"146",0,0
"147",0,1
"148",0,1
"149",0,0
"150",0,0
"151",0,1
"152",0,1
"153",0,0
"154",0,0
"155",0,0
"156",0,0
"157",0,1
"158",0,1
"159",0,1
"160",0,0
"161",0,1
"162",0,1
"163",0,1
"164",0,1
"165",0,0
"166",0,1
"167",0,1
"168",1,0
"169",0,0
"170",0,1
"171",0,1
"172",0,1
"173",0,0
"174",0,0
"175",0,0
"176",0,0
"177",0,1
"178",0,1
"179",0,1
"180",0,0
"181",0,1
"182",0,1
"183",0,0
"184",0,0
"185",0,1
"186",0,1
"187",0,1
"188",0,0
"189",0,1
"190",0,0
"191",0,1
"192",0,0
"193",0,0
"194",0,1
"195",0,1
"196",0,1
"197",0,1
"198",1,1
"199",0,1
"200",0,1
"201",1,1
"202",0,1
"203",0,0
"204",0,1
"205",1,1
"206",0,1
"207",0,1
"208",0,0
"209",0,1
"210",0,1
"211",0,1
"212",0,0
"213",0,1
"214",0,0
"215",0,1
"216",0,1
"217",0,1
"218",0,1
"219",1,1
"220",0,0
"221",0,1
"222",0,0
"223",0,1
"224",0,1
"225",0,1
"226",0,1
"227",0,1
"228",0,0
"229",0,1
"230",0,1
"231",0,0
"232",0,1
"233",0,1
"234",0,0
"235",0,1
"236",0,1
"237",0,1
"238",0,1
"239",0,1
"240",0,1
"241",0,1
"242",0,1
"243",0,1
"244",0,0
"245",0,1
"246",0,0
"247",0,1
"248",1,1
"249",0,1
"250",0,1
"251",1,0
"252",0,1
"253",0,1
"254",0,0
"255",1,1
"256",1,1
"257",0,1
"258",1,1
"259",0,1
"260",0,1
"261",0,0
"262",0,0
"263",0,1
"264",0,1
"265",0,1
"266",0,1
"267",0,1
"268",0,1
"269",0,1
"270",0,1
"271",0,1
"272",0,0
"273",0,1
"274",0,0
"275",0,1
"276",0,1
"277",0,1
"278",0,0
"279",0,1
"280",0,0
"281",0,1
"282",0,0
"283",0,1
"284",0,1
"285",1,0
"286",0,1
"287",1,1
"288",0,0
"289",0,1
"290",0,1
"291",0,1
"292",0,1
"293",0,1
"294",0,1
"295",0,0
"296",0,0
"297",0,1
"298",0,1
"299",0,1
"300",1,1
"301",0,1
"302",0,0
"303",0,1
"304",0,1
"305",0,0
"306",1,1
"307",0,1
"308",0,1
"309",0,0
"310",0,0
